Date,^GSPC,ABT,CC,FNMA,PG,KMB,KR,NUE,PM,PBI,WBA,WFC
2014-07-11,1967.5699462890625,41.29999923706055,,4.010000228881836,81.16000366210938,107.96739959716797,24.40999984741211,49.41999816894531,85.41000366210938,27.549999237060547,71.66000366210938,51.4900016784668
2014-07-14,1977.0999755859375,41.81999969482422,,4.099999904632568,81.31999969482422,108.3604965209961,24.6299991607666,49.22999954223633,85.94999694824219,28.1299991607666,71.48999786376953,51.310001373291016
2014-07-15,1973.280029296875,41.16999816894531,,4.090000152587891,81.26000213623047,109.0987548828125,24.665000915527344,49.599998474121094,84.58999633789062,28.18000030517578,71.58999633789062,51.349998474121094
2014-07-16,1981.5699462890625,41.04999923706055,,4.449999809265137,80.94000244140625,109.53020477294922,24.674999237060547,50.5,84.69999694824219,28.1299991607666,71.41999816894531,51.16999816894531
2014-07-17,1958.1199951171875,41.900001525878906,,4.449999809265137,80.4000015258789,108.0249252319336,24.639999389648438,49.79999923706055,84.55000305175781,27.149999618530273,70.18000030517578,50.68000030517578
2014-07-18,1978.219970703125,42.72999954223633,,4.340000152587891,80.55000305175781,108.61936950683594,24.799999237060547,50.27000045776367,86.0199966430664,27.329999923706055,71.97000122070312,51.279998779296875
2014-07-21,1973.6300048828125,42.959999084472656,,4.210000038146973,80.27999877929688,107.67977142333984,24.739999771118164,50.45000076293945,85.56999969482422,27.229999542236328,71.66999816894531,51.04999923706055
2014-07-22,1983.530029296875,43.09000015258789,,4.21999979019165,80.0999984741211,104.35282897949219,25.084999084472656,50.689998626708984,85.37999725341797,27.459999084472656,72.86000061035156,51.349998474121094
2014-07-23,1987.010009765625,42.970001220703125,,4.260000228881836,79.98999786376953,104.9856185913086,25.084999084472656,51.0,85.08000183105469,27.18000030517578,72.9000015258789,51.33000183105469
2014-07-24,1987.97998046875,42.88999938964844,,4.21999979019165,80.26000213623047,104.97602844238281,25.5,51.11000061035156,85.54000091552734,27.110000610351562,73.08000183105469,51.59000015258789
2014-07-25,1978.3399658203125,43.040000915527344,,4.230000019073486,79.55999755859375,104.05561065673828,25.354999542236328,51.33000183105469,84.8499984741211,26.969999313354492,73.29000091552734,51.599998474121094
2014-07-28,1978.9100341796875,42.93000030517578,,4.190000057220459,79.26000213623047,103.84468078613281,25.065000534057617,51.2400016784668,84.4800033569336,26.90999984741211,71.44999694824219,51.599998474121094
2014-07-29,1969.949951171875,42.75,,4.230000019073486,78.6500015258789,102.67497253417969,25.1299991607666,51.02000045776367,84.6500015258789,26.350000381469727,70.16000366210938,51.540000915527344
2014-07-30,1970.0699462890625,42.86000061035156,,4.309999942779541,78.16000366210938,101.72579193115234,24.864999771118164,51.2400016784668,83.19000244140625,27.530000686645508,70.88999938964844,52.099998474121094
2014-07-31,1930.6700439453125,42.119998931884766,,4.190000057220459,77.31999969482422,99.58773040771484,24.489999771118164,50.220001220703125,82.01000213623047,27.059999465942383,68.7699966430664,50.900001525878906
2014-08-01,1925.1500244140625,42.029998779296875,,4.070000171661377,79.6500015258789,100.57526397705078,24.625,49.810001373291016,81.9000015258789,26.979999542236328,70.52999877929688,50.349998474121094
2014-08-04,1938.989990234375,42.38999938964844,,4.059999942779541,79.22000122070312,100.89165496826172,24.68000030517578,50.189998626708984,82.12999725341797,27.149999618530273,72.11000061035156,50.9900016784668
2014-08-05,1920.2099609375,41.779998779296875,,4.090000152587891,79.41000366210938,100.30680847167969,24.354999542236328,49.970001220703125,81.58000183105469,26.75,69.12000274658203,50.400001525878906
2014-08-06,1920.239990234375,41.77000045776367,,4.099999904632568,81.08999633789062,102.3106460571289,24.610000610351562,50.630001068115234,83.4800033569336,25.549999237060547,59.209999084472656,50.060001373291016
2014-08-07,1909.5699462890625,41.529998779296875,,4.039999961853027,80.13999938964844,101.802490234375,24.485000610351562,50.09000015258789,82.70999908447266,25.709999084472656,60.869998931884766,49.70000076293945
2014-08-08,1931.5899658203125,41.689998626708984,,4.019999980926514,80.94999694824219,102.88590240478516,24.704999923706055,51.06999969482422,83.83999633789062,26.09000015258789,60.70000076293945,50.0
2014-08-11,1936.9200439453125,42.04999923706055,,3.930000066757202,81.4800033569336,103.60498809814453,25.125,50.970001220703125,84.3499984741211,26.239999771118164,61.9900016784668,49.88999938964844
2014-08-12,1933.75,41.56999969482422,,3.8399999141693115,81.41999816894531,103.1831283569336,25.05500030517578,51.040000915527344,84.18000030517578,26.059999465942383,62.15999984741211,49.779998779296875
2014-08-13,1946.719970703125,42.15999984741211,,3.8499999046325684,81.4800033569336,103.48992919921875,24.8700008392334,52.4900016784668,84.47000122070312,26.5,62.45000076293945,49.9900016784668
2014-08-14,1955.1800537109375,42.33000183105469,,3.990000009536743,81.94999694824219,103.62416076660156,25.274999618530273,52.189998626708984,84.93000030517578,26.479999542236328,62.25,50.380001068115234
2014-08-15,1955.06005859375,42.060001373291016,,3.950000047683716,81.77999877929688,103.27899932861328,25.084999084472656,52.0,84.5,26.299999237060547,61.75,50.209999084472656
2014-08-18,1971.739990234375,42.22999954223633,,3.890000104904175,82.44000244140625,104.16107177734375,25.094999313354492,53.650001525878906,84.98999786376953,26.6200008392334,62.06999969482422,50.689998626708984
2014-08-19,1981.5999755859375,42.540000915527344,,3.859999895095825,82.69000244140625,103.98849487304688,25.200000762939453,54.0,85.37999725341797,26.780000686645508,62.150001525878906,50.86000061035156
2014-08-20,1986.510009765625,42.13999938964844,,3.869999885559082,82.80999755859375,104.09395599365234,25.264999389648438,54.06999969482422,85.08999633789062,26.700000762939453,62.0,50.849998474121094
2014-08-21,1992.3699951171875,42.31999969482422,,3.8499999046325684,83.27999877929688,104.6788101196289,25.225000381469727,53.75,85.1500015258789,26.610000610351562,61.06999969482422,51.290000915527344
2014-08-22,1988.4000244140625,42.11000061035156,,3.8499999046325684,83.38999938964844,104.28571319580078,25.149999618530273,53.75,84.33999633789062,26.709999084472656,61.04999923706055,51.18000030517578
2014-08-25,1997.9200439453125,42.4900016784668,,3.869999885559082,83.54000091552734,104.70757293701172,25.065000534057617,54.029998779296875,85.19000244140625,26.93000030517578,60.790000915527344,51.45000076293945
2014-08-26,2000.02001953125,42.79999923706055,,3.8499999046325684,83.37999725341797,103.6720962524414,25.239999771118164,54.36000061035156,85.26000213623047,27.0,60.93000030517578,51.560001373291016
2014-08-27,2000.1199951171875,42.599998474121094,,3.940000057220459,83.30999755859375,104.42952728271484,25.43000030517578,54.310001373291016,85.25,26.989999771118164,60.529998779296875,51.34000015258789
2014-08-28,1996.739990234375,42.349998474121094,,3.869999885559082,83.02999877929688,103.68168640136719,25.5,53.959999084472656,85.26000213623047,27.010000228881836,60.470001220703125,51.150001525878906
2014-08-29,2003.3699951171875,42.2400016784668,,3.890000104904175,83.11000061035156,103.5474624633789,25.489999771118164,54.31999969482422,85.58000183105469,27.059999465942383,60.52000045776367,51.439998626708984
2014-09-02,2002.280029296875,42.22999954223633,,3.8499999046325684,82.9800033569336,103.5474624633789,25.665000915527344,53.91999816894531,85.48999786376953,27.3700008392334,60.0099983215332,51.56999969482422
2014-09-03,2000.719970703125,42.7599983215332,,3.690000057220459,82.9000015258789,103.11601257324219,25.799999237060547,55.02000045776367,85.4000015258789,27.100000381469727,60.220001220703125,51.54999923706055
2014-09-04,1997.6500244140625,42.900001525878906,,3.5399999618530273,83.69999694824219,103.1064224243164,25.924999237060547,55.790000915527344,84.98999786376953,27.079999923706055,62.459999084472656,51.56999969482422
2014-09-05,2007.7099609375,42.95000076293945,,3.5899999141693115,83.7699966430664,103.06806945800781,26.204999923706055,56.040000915527344,85.44999694824219,27.170000076293945,63.95000076293945,51.650001525878906
2014-09-08,2001.5400390625,42.810001373291016,,3.619999885559082,83.31999969482422,102.56951141357422,26.084999084472656,55.43000030517578,84.0,27.280000686645508,62.959999084472656,51.470001220703125
2014-09-09,1988.43994140625,42.83000183105469,,3.4700000286102295,82.98999786376953,102.44486999511719,25.8700008392334,55.20000076293945,83.83000183105469,27.0,62.61000061035156,51.06999969482422
